1;-1 BHROT27_ethane_st + 1 BHROT27_ethane_ecl;2.73;kcal/mol
2;-1 BHROT27_tmethane_60 + 1 BHROT27_tmethane_0;7.01;kcal/mol
3;-1 BHROT27_tmethane_60 + 1 BHROT27_tmethane_120;3.46;kcal/mol
4;-1 BHROT27_tmethane_180 + 1 BHROT27_tmethane_120;3.72;kcal/mol
5;-1 BHROT27_methanol_st + 1 BHROT27_methanol_ecl;1.01;kcal/mol
6;-1 BHROT27_methylamine_st + 1 BHROT27_methylamine_ecl;2.28;kcal/mol
7;-1 BHROT27_h2o2 + 1 BHROT27_h2o2_trans;1.01;kcal/mol
8;-1 BHROT27_h2o2 + 1 BHROT27_h2o2_cis;7.17;kcal/mol
9;-1 BHROT27_h2s2 + 1 BHROT27_h2s2_trans;5.79;kcal/mol
10;-1 BHROT27_h2s2 + 1 BHROT27_h2s2_cis;8.03;kcal/mol
11;-1 BHROT27_n2h4_st1 + 1 BHROT27_n2h4_ecl1;1.62;kcal/mol
12;-1 BHROT27_n2h4_st1 + 1 BHROT27_n2h4_ecl2;8.41;kcal/mol
13;-1 BHROT27_nh2oh_st1 + 1 BHROT27_nh2oh_ecl;6.91;kcal/mol
14;-1 BHROT27_nh2oh_st2 + 1 BHROT27_nh2oh_ecl;2.68;kcal/mol
15;-1 BHROT27_acetamide_RC + 1 BHROT27_acetamide_TS1;17.24;kcal/mol
16;-1 BHROT27_acetamide_RC + 1 BHROT27_acetamide_TS2;14.52;kcal/mol
17;-1 BHROT27_biphenyl + 1 BHROT27_biphenyl_TS;2.10;kcal/mol
18;-1 BHROT27_bifuran_anti + 1 BHROT27_bifuran_TS;3.89;kcal/mol
19;-1 BHROT27_bifuran_syn + 1 BHROT27_bifuran_TS;2.09;kcal/mol
20;-1 BHROT27_bithiophene_anti + 1 BHROT27_bithiophene_TS;1.78;kcal/mol
21;-1 BHROT27_bithiophene_syn + 1 BHROT27_bithiophene_TS;1.39;kcal/mol
22;-1 BHROT27_butadiene_strans + 1 BHROT27_butadiene_TS;6.30;kcal/mol
23;-1 BHROT27_butadiene_scis + 1 BHROT27_butadiene_TS;3.35;kcal/mol
24;-1 BHROT27_ethylthiourea_180 + 1 BHROT27_ethylthiourea_TS1;10.36;kcal/mol
25;-1 BHROT27_ethylthiourea_0 + 1 BHROT27_ethylthiourea_TS1;10.24;kcal/mol
26;-1 BHROT27_ethylthiourea_180 + 1 BHROT27_ethylthiourea_TS2;17.20;kcal/mol
27;-1 BHROT27_ethylthiourea_0 + 1 BHROT27_ethylthiourea_TS2;17.08;kcal/mol
