1;-1 G21IP_h;314.9;kcal/mol
2;1 G21IP_li+ + -1 G21IP_li;123.3;kcal/mol
3;1 G21IP_be+ + -1 G21IP_be;214.9;kcal/mol
4;1 G21IP_b+ + -1 G21IP_b;190.4;kcal/mol
5;1 G21IP_c+ + -1 G21IP_c;259.6;kcal/mol
6;1 G21IP_n+ + -1 G21IP_n;335.3;kcal/mol
7;1 G21IP_o+ + -1 G21IP_o;313.8;kcal/mol
8;1 G21IP_f+ + -1 G21IP_f;401.7;kcal/mol
9;1 G21IP_na+ + -1 G21IP_na;118.5;kcal/mol
10;1 G21IP_mg+ + -1 G21IP_mg;176.3;kcal/mol
11;1 G21IP_al+ + -1 G21IP_al;138;kcal/mol
12;1 G21IP_si+ + -1 G21IP_si;188;kcal/mol
13;1 G21IP_p+ + -1 G21IP_p;241.9;kcal/mol
14;1 G21IP_s+ + -1 G21IP_s;239;kcal/mol
15;1 G21IP_cl+ + -1 G21IP_cl;299.1;kcal/mol
16;1 G21IP_IP_59 + -1 G21IP_8;296.339;kcal/mol
17;1 G21IP_IP_60 + -1 G21IP_11;235.69;kcal/mol
18;1 G21IP_IP_61 + -1 G21IP_12;300.917;kcal/mol
19;1 G21IP_IP_62 + -1 G21IP_13;292.648;kcal/mol
20;1 G21IP_IP_63 + -1 G21IP_14;371.311;kcal/mol
21;1 G21IP_IP_64 + -1 G21IP_18;255.387;kcal/mol
22;1 G21IP_IP_65 + -1 G21IP_IP_n65;234.107;kcal/mol
23;1 G21IP_IP_66 + -1 G21IP_19;226.367;kcal/mol
24;1 G21IP_IP_67 + -1 G21IP_20;227.822;kcal/mol
25;1 G21IP_IP_68 + -1 G21IP_137;239.300;kcal/mol
26;1 G21IP_IP_70 + -1 G21IP_22;294.459;kcal/mol
27;1 G21IP_IP_71 + -1 G21IP_25;264.585;kcal/mol
28;1 G21IP_IP_72 + -1 G21IP_26;243.709;kcal/mol
29;1 G21IP_IP_73 + -1 G21IP_30;322.986;kcal/mol
30;1 G21IP_IP_74 + -1 G21IP_34;359.365;kcal/mol
31;1 G21IP_IP_75 + -1 G21IP_37;277.727;kcal/mol
32;1 G21IP_IP_76 + -1 G21IP_43;242.854;kcal/mol
33;1 G21IP_IP_77 + -1 G21IP_44;215.737;kcal/mol
34;1 G21IP_IP_78 + -1 G21IP_45;265.083;kcal/mol
35;1 G21IP_IP_79 + -1 G21IP_51;291.699;kcal/mol
36;1 G21IP_IP_80 + -1 G21IP_48;261.153;kcal/mol
