1;-1 ISO34_E1 + 1 ISO34_P1;1.49;kcal/mol
2;-1 ISO34_E1 + 1 ISO34_P2;23.36;kcal/mol
3;-1 ISO34_E3 + 1 ISO34_P3;7.27;kcal/mol
4;-1 ISO34_E4 + 1 ISO34_P4;1.06;kcal/mol
5;-1 ISO34_E5 + 1 ISO34_E4;1.23;kcal/mol
6;-1 ISO34_E4 + 1 ISO34_P6;2.49;kcal/mol
7;-1 ISO34_E7 + 1 ISO34_P7;11.15;kcal/mol
8;-1 ISO34_E8 + 1 ISO34_P8;22.59;kcal/mol
9;-1 ISO34_E9 + 1 ISO34_P9;6.54;kcal/mol
10;-1 ISO34_E10 + 1 ISO34_P10;3.80;kcal/mol
11;-1 ISO34_E11 + 1 ISO34_P11;1.58;kcal/mol
12;-1 ISO34_E12 + 1 ISO34_P12;45.65;kcal/mol
13;-1 ISO34_E13 + 1 ISO34_P13;36.85;kcal/mol
14;-1 ISO34_E14 + 1 ISO34_P14;24.58;kcal/mol
15;-1 ISO34_E15 + 1 ISO34_P15;8.25;kcal/mol
16;-1 ISO34_E16 + 1 ISO34_P16;10.02;kcal/mol
17;-1 ISO34_E17 + 1 ISO34_P17;28.51;kcal/mol
18;-1 ISO34_E18 + 1 ISO34_P18;11.68;kcal/mol
19;-1 ISO34_E19 + 1 ISO34_E20;4.58;kcal/mol
20;-1 ISO34_E20 + 1 ISO34_P20;18.12;kcal/mol
21;-1 ISO34_E21 + 1 ISO34_P21;1.16;kcal/mol
22;-1 ISO34_E22 + 1 ISO34_E21;4.65;kcal/mol
23;-1 ISO34_E23 + 1 ISO34_P23;5.54;kcal/mol
24;-1 ISO34_E24 + 1 ISO34_P24;12.26;kcal/mol
25;-1 ISO34_E25 + 1 ISO34_P25;26.14;kcal/mol
26;-1 ISO34_E26 + 1 ISO34_P26;17.14;kcal/mol
27;-1 ISO34_E27 + 1 ISO34_P27;66.06;kcal/mol
28;-1 ISO34_E28 + 1 ISO34_P28;31.26;kcal/mol
29;-1 ISO34_E29 + 1 ISO34_P29;13.05;kcal/mol
30;-1 ISO34_E30 + 1 ISO34_P30;9.98;kcal/mol
31;-1 ISO34_E31 + 1 ISO34_P31;15.23;kcal/mol
32;-1 ISO34_E32 + 1 ISO34_P32;6.64;kcal/mol
33;-1 ISO34_E33 + 1 ISO34_P33;8.70;kcal/mol
34;-1 ISO34_E34 + 1 ISO34_P34;6.77;kcal/mol
