1;-1 PCONF21_99 + 1 PCONF21_444;0.02;kcal/mol
2;-1 PCONF21_99 + 1 PCONF21_357;1.01;kcal/mol
3;-1 PCONF21_99 + 1 PCONF21_366;0.70;kcal/mol
4;-1 PCONF21_99 + 1 PCONF21_215;0.85;kcal/mol
5;-1 PCONF21_99 + 1 PCONF21_300;0.78;kcal/mol
6;-1 PCONF21_99 + 1 PCONF21_114;1.92;kcal/mol
7;-1 PCONF21_99 + 1 PCONF21_412;2.18;kcal/mol
8;-1 PCONF21_99 + 1 PCONF21_691;1.61;kcal/mol
9;-1 PCONF21_99 + 1 PCONF21_470;1.89;kcal/mol
10;-1 PCONF21_99 + 1 PCONF21_224;2.07;kcal/mol
11;-1 PCONF21_GLY_ab + 1 PCONF21_GLY_aR;1.07;kcal/mol
12;-1 PCONF21_GLY_ab + 1 PCONF21_GLY_pII;1.23;kcal/mol
13;-1 PCONF21_GLY_ab + 1 PCONF21_GLY_aL;2.44;kcal/mol
14;-1 PCONF21_GLY_ab + 1 PCONF21_GLY_b;2.14;kcal/mol
15;-1 PCONF21_SER_ab + 1 PCONF21_SER_aR;1.47;kcal/mol
16;-1 PCONF21_SER_ab + 1 PCONF21_SER_pII;2.80;kcal/mol
17;-1 PCONF21_SER_ab + 1 PCONF21_SER_aL;2.27;kcal/mol
18;-1 PCONF21_SER_ab + 1 PCONF21_SER_b;2.74;kcal/mol
